benchmark,model,display_name,metric_name,score,num_samples,input_tokens,output_tokens,total_tokens,input_cost_eur,output_cost_eur,total_cost_eur
arc_challenge,brick,Brick (Router),"exact_match,remove_whitespace",0.002559726962457338,1172,193728,8657,202385,,,
arc_challenge,gptoss120b,GPT-OSS-120B,"exact_match,remove_whitespace",0.0,1172,164924,6109,171033,0.164924,0.025657799999999998,0.1905818
arc_challenge,gptoss20b,GPT-OSS-20B,"exact_match,remove_whitespace",0.0017064846416382253,1172,167268,6724,173992,0.0167268,0.00282408,0.01955088
arc_challenge,qwen3_8b,Qwen3-8B,"exact_match,remove_whitespace",0.0,1172,167268,161,167429,0.01170876,5.6349999999999994e-05,0.01176511
arc_challenge,qwen3coder,Qwen3-Coder-Next,"exact_match,remove_whitespace",0.15443686006825938,1172,167268,69682,236950,0.083634,0.139364,0.22299799999999997
bbh,brick,Brick (Router),"exact_match,flexible-extract",0.3437037037037037,2700,432682,120692,553374,,,
bbh,gptoss120b,GPT-OSS-120B,"exact_match,flexible-extract",0.33037037037037037,2700,386948,119952,506900,0.386948,0.5037984,0.8907464
bbh,gptoss20b,GPT-OSS-20B,"exact_match,flexible-extract",0.2644444444444444,2700,381548,71678,453226,0.0381548,0.030104759999999998,0.06825956
bbh,llama70b,Llama-3.3-70B-Instruct,"exact_match,flexible-extract",0.47703703703703704,2700,432682,628734,1061416,0.2596092,1.6975818,1.957191
bbh,mistral32,Mistral-Small-3.2,"exact_match,flexible-extract",0.47185185185185186,2700,351706,640196,991902,0.175853,1.4084312,1.5842842000000001
bbh,qwen3_8b,Qwen3-8B,"exact_match,flexible-extract",0.012592592592592593,2700,381548,3488,385036,0.026708360000000004,0.0012208,0.027929160000000005
bbh,qwen3coder,Qwen3-Coder-Next,"exact_match,flexible-extract",0.39185185185185184,2700,381548,643074,1024622,0.190774,1.286148,1.476922
drop,brick,Brick (Router),"f1,none",0.17734999999999995,200,254131,2839,256970,,,
drop,gptoss120b,GPT-OSS-120B,"f1,none",0.17014999999999994,200,263590,2974,266564,0.26359,0.012490800000000002,0.2760808
drop,gptoss20b,GPT-OSS-20B,"f1,none",0.2017999999999999,200,263190,2674,265864,0.026319,0.0011230799999999998,0.027442079999999997
drop,mistral32,Mistral-Small-3.2,"f1,none",0.13994999999999996,200,257508,4953,262461,0.128754,0.010896600000000001,0.1396506
drop,qwen3_8b,Qwen3-8B,"f1,none",0.0,200,263190,0,263190,0.018423300000000004,0.0,0.018423300000000004
drop,qwen3coder,Qwen3-Coder-Next,"f1,none",0.17909999999999995,200,263190,3504,266694,0.131595,0.007008,0.13860299999999998
humaneval,brick,Brick (Router),"pass@1,create_test",0.0,164,54096,17669,71765,,,
humaneval,qwen3coder,Qwen3-Coder-Next,"pass@1,create_test",0.0,164,23161,39629,62790,0.0115805,0.079258,0.09083849999999999
ifeval,brick,Brick (Router),"prompt_level_strict_acc,none",0.7855822550831792,541,43780,213732,257512,,,
ifeval,gptoss120b,GPT-OSS-120B,"prompt_level_strict_acc,none",0.7726432532347505,541,30508,216378,246886,0.030508,0.9087876000000001,0.9392956000000001
ifeval,gptoss20b,GPT-OSS-20B,"prompt_level_strict_acc,none",0.5471349353049908,541,29426,130683,160109,0.0029426000000000005,0.05488686,0.057829460000000006
ifeval,llama70b,Llama-3.3-70B-Instruct,"prompt_level_strict_acc,none",0.8835489833641405,541,43780,183027,226807,0.026268,0.4941729,0.5204409
ifeval,mistral32,Mistral-Small-3.2,"prompt_level_strict_acc,none",0.8927911275415896,541,26061,189698,215759,0.0130305,0.41733560000000003,0.43036610000000003
ifeval,qwen3_8b,Qwen3-8B,"prompt_level_strict_acc,none",0.7153419593345656,541,29426,141170,170596,0.00205982,0.0494095,0.05146932
